public_id,price_amd,price_per_sqm_amd,total_area,living_area,kitchen_area,rooms,bathrooms,ceiling_height,floor,balcony_count,has_loggia,has_parking,has_storage,condition,heating,ownership_docs,lat,lon,building_type,construction_year,total_floors,has_elevator,seismic_retrofit,district_slug
Y21-A0F888EB,27709000,486123,57,,,2,1,,1,1,,,,NEEDS_REPAIR,,,,,MONOLITH,,1,false,,arabkir
Y21-17C040E4,36273600,549600,66,,,2,1,,2,1,,,,GOOD,,,,,STONE,,7,true,,arabkir
Y21-1E87F25F,65494000,311876,210,,,4,1,,3,0,,,,NEEDS_REPAIR,,,,,STONE,,3,false,,arabkir
Y21-E7FF92E1,29220400,695724,42,,,1,1,,9,1,,,,EURO_RENOVATION,,,,,PANEL,,10,true,,arabkir
Y21-D573933B,45342000,462673,98,,,4,1,,2,1,,,,GOOD,,,,,PANEL,,9,true,,arabkir
Y21-00C70070,37785000,547609,69,,,2,1,,6,1,,,,GOOD,,,,,PANEL,,9,true,,arabkir
Y21-29E17A8A,125446200,1130146,111,,,3,3,,13,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,17,true,,arabkir
Y21-BF1AF9CE,75570000,858750,88,,,3,1,,7,2,,,,GOOD,,,,,NEW_BUILD,,17,true,,arabkir
Y21-BD5DFBB5,37785000,555662,68,,,2,1,,12,1,,,,NEEDS_REPAIR,,,,,NEW_BUILD,,14,true,,arabkir
Y21-5DC9F30E,65494000,1039587,63,,,2,1,,5,1,,,,EURO_RENOVATION,,,,,NEW_BUILD,,9,true,,arabkir
Y21-D5635A41,37281200,540307,69,,,2,1,,1,0,,,,EURO_RENOVATION,,,,,PANEL,,9,true,,arabkir
Y21-2C10454D,22671000,581308,39,,,1,1,,4,0,,,,GOOD,,,,,STONE,,5,false,,arabkir
Y21-99154382,46349600,579370,80,,,3,2,,9,1,,,,NEEDS_REPAIR,,,,,NEW_BUILD,,14,true,,arabkir
Y21-752ECB9A,27205200,503800,54,,,2,2,,1,0,,,,EURO_RENOVATION,,,,,NEW_BUILD,,6,true,,arabkir
Y21-6C7583FC,25693800,279280,92,,,3,2,,2,1,,,,GOOD,,,,,PANEL,,16,true,,arabkir
